epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,380.984,2.36045,2.80936,0.00895,0.3569,0.23086,0.20689,0.07993,2.29125,2.74106,0.01686,0.005743,0.005743,0.005743
45,389.426,2.33395,2.79122,0.00876,0.31045,0.23119,0.17908,0.06927,2.39114,2.75035,0.01802,0.005644,0.005644,0.005644
46,397.185,2.3298,2.77181,0.00909,0.38424,0.20626,0.21199,0.09104,2.2867,2.69934,0.01702,0.005545,0.005545,0.005545
47,404.493,2.34087,2.77269,0.00866,0.33638,0.21538,0.19095,0.07731,2.35344,2.66412,0.01723,0.005446,0.005446,0.005446
48,411.778,2.29435,2.74916,0.00872,0.32713,0.27144,0.22477,0.08409,2.28837,2.65866,0.01743,0.005347,0.005347,0.005347
49,419.035,2.28881,2.75619,0.00879,0.38901,0.2174,0.19254,0.07484,2.2974,2.78463,0.01682,0.005248,0.005248,0.005248
50,427.732,2.28909,2.7002,0.00858,0.38764,0.23616,0.22051,0.09058,2.16605,2.72345,0.01594,0.005149,0.005149,0.005149
51,436.735,2.21009,2.68502,0.0085,0.31607,0.2193,0.18205,0.06908,2.36126,2.72868,0.01842,0.00505,0.00505,0.00505
52,445.49,2.25923,2.68262,0.00852,0.41236,0.25467,0.21944,0.08225,2.23341,2.65464,0.0158,0.004951,0.004951,0.004951
53,452.963,2.30826,2.67835,0.0081,0.30184,0.2482,0.20087,0.08022,2.31088,2.78932,0.01751,0.004852,0.004852,0.004852
54,460.901,2.25252,2.59073,0.00803,0.3515,0.25655,0.20835,0.0913,2.24851,2.80337,0.01593,0.004753,0.004753,0.004753
55,468.574,2.26917,2.6351,0.00821,0.4443,0.21293,0.20229,0.0776,2.32302,2.79167,0.01829,0.004654,0.004654,0.004654
56,475.96,2.27505,2.6192,0.00817,0.39552,0.29917,0.26146,0.11164,2.2897,2.47283,0.01695,0.004555,0.004555,0.004555
57,483.44,2.27386,2.61453,0.00822,0.54759,0.22194,0.23583,0.09646,2.28165,2.47171,0.01833,0.004456,0.004456,0.004456
58,491.072,2.25819,2.57842,0.00797,0.36299,0.24548,0.21561,0.09752,2.30098,2.58712,0.01749,0.004357,0.004357,0.004357
59,498.393,2.2048,2.59309,0.00809,0.27854,0.23382,0.20586,0.08785,2.25681,2.72092,0.01767,0.004258,0.004258,0.004258
60,505.78,2.24747,2.53056,0.00782,0.35847,0.27292,0.2469,0.10462,2.18022,2.48093,0.01601,0.004159,0.004159,0.004159
61,513.378,2.25288,2.50193,0.00774,0.36798,0.27693,0.25899,0.11277,2.20891,2.58188,0.01528,0.00406,0.00406,0.00406
62,521.329,2.21115,2.48916,0.00794,0.3832,0.24883,0.21148,0.09496,2.21293,2.67177,0.01596,0.003961,0.003961,0.003961
63,528.912,2.21144,2.4946,0.00788,0.33935,0.30098,0.25222,0.11503,2.09715,2.4705,0.01545,0.003862,0.003862,0.003862
64,536.571,2.18923,2.54004,0.00788,0.29616,0.32799,0.26468,0.11996,2.13173,2.46603,0.01505,0.003763,0.003763,0.003763
65,545.028,2.20979,2.45845,0.00765,0.35706,0.27734,0.2487,0.11364,2.15399,2.51272,0.01624,0.003664,0.003664,0.003664
66,553.991,2.18265,2.43685,0.00773,0.3324,0.25698,0.23281,0.09481,2.2573,2.60709,0.01647,0.003565,0.003565,0.003565
67,562.907,2.21286,2.49746,0.00794,0.43215,0.25881,0.26009,0.11816,2.15143,2.51708,0.01549,0.003466,0.003466,0.003466
68,570.811,2.20141,2.45091,0.00746,0.39917,0.23449,0.22026,0.09214,2.26042,2.725,0.01555,0.003367,0.003367,0.003367
69,579.659,2.19489,2.45464,0.00767,0.3371,0.28956,0.27916,0.1247,2.1402,2.44323,0.01498,0.003268,0.003268,0.003268
70,589.38,2.17523,2.42049,0.00761,0.39028,0.27611,0.25004,0.11206,2.14938,2.5429,0.01513,0.003169,0.003169,0.003169
71,598.093,2.18145,2.3907,0.00724,0.38887,0.2611,0.25461,0.11557,2.20077,2.52241,0.01592,0.00307,0.00307,0.00307
72,606.797,2.17628,2.37576,0.00727,0.32881,0.29117,0.25391,0.11903,2.16436,2.49815,0.01452,0.002971,0.002971,0.002971
73,615.511,2.14798,2.39833,0.00757,0.38602,0.23914,0.27029,0.11825,2.16045,2.5575,0.01478,0.002872,0.002872,0.002872
74,624.955,2.18042,2.39802,0.00741,0.50207,0.24915,0.2692,0.12694,2.14797,2.52209,0.01451,0.002773,0.002773,0.002773
75,633.681,2.16844,2.33999,0.00724,0.32956,0.29192,0.27283,0.11988,2.19458,2.45108,0.01535,0.002674,0.002674,0.002674
76,641.996,2.14398,2.33683,0.00711,0.40672,0.26173,0.26997,0.12549,2.13979,2.47962,0.01476,0.002575,0.002575,0.002575
77,649.622,2.16733,2.32249,0.0074,0.36568,0.25517,0.26304,0.11862,2.1562,2.43618,0.01525,0.002476,0.002476,0.002476
78,658.566,2.12544,2.32841,0.00712,0.34319,0.26796,0.24902,0.11011,2.20525,2.51151,0.01546,0.002377,0.002377,0.002377
79,667.002,2.13618,2.35223,0.00725,0.38008,0.23811,0.24478,0.10483,2.20511,2.61951,0.01601,0.002278,0.002278,0.002278
80,675.966,2.12945,2.2866,0.00715,0.38045,0.27728,0.2692,0.13014,2.08362,2.43308,0.01468,0.002179,0.002179,0.002179
81,684.691,2.15621,2.30128,0.00717,0.31081,0.27904,0.2637,0.12894,2.13705,2.45381,0.01453,0.00208,0.00208,0.00208
82,694.221,2.0807,2.23703,0.00706,0.33988,0.26504,0.26352,0.12059,2.16915,2.57798,0.01385,0.001981,0.001981,0.001981
83,702.868,2.08923,2.22237,0.00684,0.33852,0.3071,0.26926,0.12293,2.09752,2.4874,0.01456,0.001882,0.001882,0.001882
84,710.855,2.08746,2.23271,0.00657,0.33056,0.30653,0.2782,0.12675,2.13433,2.47896,0.01425,0.001783,0.001783,0.001783
85,718.63,2.05886,2.21073,0.00687,0.29996,0.28451,0.278,0.129,2.18587,2.43712,0.01636,0.001684,0.001684,0.001684
86,727.571,2.07378,2.19824,0.00683,0.41988,0.25222,0.26928,0.12017,2.17258,2.61408,0.01473,0.001585,0.001585,0.001585
87,735.622,2.05349,2.14257,0.00677,0.32492,0.28869,0.27524,0.12243,2.19773,2.4807,0.01467,0.001486,0.001486,0.001486
88,744.196,2.08526,2.1765,0.00681,0.33019,0.28491,0.26964,0.1225,2.15017,2.48462,0.01455,0.001387,0.001387,0.001387
89,752.694,2.06626,2.18354,0.00663,0.36281,0.25273,0.27573,0.12768,2.25464,2.48676,0.01583,0.001288,0.001288,0.001288
90,762.289,2.07387,2.18223,0.00691,0.31639,0.30548,0.28824,0.13804,2.16451,2.42032,0.01519,0.001189,0.001189,0.001189
91,773.331,2.15372,2.27486,0.00872,0.2787,0.2957,0.25714,0.12397,2.17702,2.53947,0.01536,0.00109,0.00109,0.00109
92,780.483,2.08579,2.13929,0.00769,0.39464,0.2505,0.2592,0.11995,2.23044,2.4806,0.01524,0.000991,0.000991,0.000991
93,787.467,2.01717,2.06183,0.0074,0.30795,0.28672,0.27414,0.12932,2.24707,2.47603,0.01513,0.000892,0.000892,0.000892
94,794.461,2.07236,2.01572,0.00735,0.31339,0.29626,0.26988,0.12659,2.18598,2.47198,0.01449,0.000793,0.000793,0.000793
95,801.584,2.03004,1.9899,0.00742,0.31459,0.31102,0.27478,0.12471,2.21416,2.45584,0.01589,0.000694,0.000694,0.000694
96,808.568,2.03457,2.02288,0.00744,0.30311,0.29456,0.28719,0.13215,2.18552,2.43466,0.01495,0.000595,0.000595,0.000595
97,815.566,2.00199,1.99852,0.00708,0.33463,0.28458,0.26662,0.1186,2.25501,2.49622,0.01511,0.000496,0.000496,0.000496
98,822.563,2.01223,2.00505,0.007,0.30076,0.31166,0.26863,0.12238,2.23513,2.48054,0.01512,0.000397,0.000397,0.000397
99,829.738,2.0085,1.9989,0.00712,0.28277,0.30807,0.26943,0.12706,2.18882,2.46443,0.01486,0.000298,0.000298,0.000298
100,836.714,1.98694,1.9911,0.0068,0.30627,0.30045,0.27619,0.12728,2.21407,2.45241,0.01475,0.000199,0.000199,0.000199
