epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.0612,3.38856,13.292,0.02032,0.00306,0.05549,0.00839,0.00236,2.92735,4.1412,0.02736,0.00331512,0.00331512,0.0701639
2,60.448,3.0785,8.78116,0.01608,0.7315,0.0562,0.02906,0.0086,2.94308,3.72514,0.02964,0.00658263,0.00658263,0.0400981
3,81.901,3.0895,7.46369,0.01621,0.3758,0.04826,0.02077,0.00434,3.30519,4.19771,0.03533,0.00978415,0.00978415,0.0099663
4,102.962,3.27924,6.82218,0.0185,0.48031,0.03731,0.02391,0.007,3.16975,3.66648,0.03564,0.009703,0.009703,0.009703
5,124.514,3.17682,5.7471,0.01767,0.69039,0.03861,0.03051,0.00862,3.26183,3.61871,0.03693,0.009604,0.009604,0.009604
6,146.312,3.14374,4.98047,0.01699,0.61206,0.06875,0.04916,0.01536,2.97361,3.76793,0.03125,0.009505,0.009505,0.009505
7,167.916,3.06052,4.6191,0.01658,0.55218,0.06503,0.03547,0.00846,3.02343,3.32594,0.0299,0.009406,0.009406,0.009406
